1	12	1	31
2	11	1	31
3	10	1	31
4	9	1	31
5	8	1	31
6	7	1	31
7	6	1	31
8	5	1	31
9	4	1	31
10	3	1	31
11	3	2	32
12	2	1	31
13	1	1	31
14	12	1	31
15	11	1	31
16	10	1	31
17	9	1	31
18	8	1	31
19	7	1	31
20	6	1	31
21	5	1	31
22	4	1	31
23	3	1	31
24	2	1	31
25	1	1	31
26	1	2	32
27	12	1	31
28	11	1	31
29	10	1	31
30	9	1	31
31	8	1	31
32	7	1	31
33	6	1	31
34	6	2	32
35	5	1	31
36	4	1	31
37	3	1	31
38	2	1	31
39	1	1	31
40	12	1	31
41	11	1	31
42	11	2	32
43	10	1	31
44	9	1	31
45	8	1	31
46	7	1	31
47	7	2	32
48	6	1	31
49	5	1	31
50	4	1	31
51	4	2	32
52	3	1	31
53	2	1	31
54	1	1	31
55	12	1	31
56	11	1	31
57	11	2	32
58	10	1	31
59	9	1	31
60	8	1	31
61	7	1	31
62	6	1	31
63	5	1	31
64	4	1	31
65	3	1	31
66	2	1	31
67	1	1	31
68	12	1	31
69	11	1	31
70	10	1	31
71	9	1	31
72	8	1	31
73	7	1	31
74	6	1	31
75	5	1	31
76	4	1	31
77	3	1	31
78	2	1	31
79	1	1	31
80	12	1	31
81	11	1	31
82	11	2	32
83	10	1	31
84	9	1	31
85	8	1	31
86	8	2	32
87	7	1	31
88	6	1	31
89	5	1	31
90	4	1	31
91	3	1	31
92	2	1	31
93	2	2	32
94	1	1	31
95	12	1	31
96	11	1	31
97	11	2	32
98	10	1	31
99	9	1	31
100	8	1	31
101	7	1	31
102	6	1	31
103	6	2	32
104	5	1	31
105	4	1	31
106	3	1	31
107	2	1	31
108	2	2	32
109	1	1	31
110	12	1	31
111	11	1	31
112	10	1	31
113	9	1	31
114	9	2	32
115	8	1	31
116	7	1	31
117	6	1	31
118	5	1	31
119	4	1	31
120	4	2	32
121	3	1	31
122	2	1	31
123	1	1	31
124	1	2	32
125	12	1	31
126	11	1	31
127	10	1	31
128	10	2	32
129	9	1	31
130	8	1	31
131	7	1	31
132	6	1	31
133	5	1	31
134	4	1	31
135	3	1	31
136	2	1	31
137	1	1	31
138	1	2	32
139	12	1	31
140	11	1	31
141	10	1	31
142	9	1	31
143	8	1	31
144	8	2	32
145	7	1	31
146	6	1	31
