1	12	1	21
2	11	1	21
3	10	1	21
4	9	1	21
5	8	1	21
6	7	1	21
7	6	1	21
8	5	1	21
9	4	1	21
10	3	1	21
11	2	1	21
12	3	2	22
13	2	1	21
14	1	1	21
15	12	1	21
16	11	1	21
17	12	2	22
18	11	1	21
19	10	1	21
20	9	1	21
21	8	1	21
22	7	1	21
23	6	1	21
24	5	1	21
25	4	1	21
26	3	1	21
27	4	2	22
28	3	1	21
29	2	1	21
30	1	1	21
31	2	2	22
32	1	1	21
33	12	1	21
34	11	1	21
35	12	2	22
36	11	1	21
37	10	1	21
38	9	1	21
39	8	1	21
40	9	2	22
41	8	1	21
42	7	1	21
43	6	1	21
44	5	1	21
45	4	1	21
46	3	1	21
47	4	2	22
48	3	1	21
49	2	1	21
50	1	1	21
51	12	1	21
52	11	1	21
53	10	1	21
54	9	1	21
55	8	1	21
56	7	1	21
57	6	1	21
58	5	1	21
59	4	1	21
60	3	1	21
61	2	1	21
62	1	1	21
63	12	1	21
64	11	1	21
65	10	1	21
66	9	1	21
67	8	1	21
68	7	1	21
69	6	1	21
70	7	2	22
71	6	1	21
72	5	1	21
73	4	1	21
74	5	2	22
75	4	1	21
76	3	1	21
77	2	1	21
78	1	1	21
79	2	2	22
80	1	1	21
81	12	1	21
82	11	1	21
83	10	1	21
84	9	1	21
85	8	1	21
86	7	1	21
87	6	1	21
88	5	1	21
89	4	1	21
90	3	1	21
91	2	1	21
92	1	1	21
93	12	1	21
94	11	1	21
95	10	1	21
96	9	1	21
97	8	1	21
98	7	1	21
99	6	1	21
100	5	1	21
101	4	1	21
102	3	1	21
103	2	1	21
104	1	1	21
105	12	1	21
106	1	2	22
107	12	1	21
108	11	1	21
109	10	1	21
110	11	2	22
111	10	1	21
112	9	1	21
113	8	1	21
114	7	1	21
115	6	1	21
116	5	1	21
117	6	2	22
118	5	1	21
119	4	1	21
120	3	1	21
121	2	1	21
122	1	1	21
123	12	1	21
124	11	1	21
125	10	1	21
126	9	1	21
127	8	1	21
128	7	1	21
129	6	1	21
130	5	1	21
131	4	1	21
132	3	1	21
133	2	1	21
134	1	1	21
135	12	1	21
136	11	1	21
137	10	1	21
138	9	1	21
139	8	1	21
140	7	1	21
141	6	1	21
142	5	1	21
143	4	1	21
144	3	1	21
145	2	1	21
146	1	1	21
147	12	1	21
148	11	1	21
149	10	1	21
150	11	2	22
151	10	1	21
152	9	1	21
153	8	1	21
154	7	1	21
155	8	2	22
156	7	1	21
157	6	1	21
158	5	1	21
159	4	1	21
160	3	1	21
161	2	1	21
162	1	1	21
163	12	1	21
164	11	1	21
165	10	1	21
166	9	1	21
167	8	1	21
168	9	2	22
169	8	1	21
170	7	1	21
171	6	1	21
172	5	1	21
173	4	1	21
174	3	1	21
175	2	1	21
176	3	2	22
177	2	1	21
178	1	1	21
179	12	1	21
180	11	1	21
181	10	1	21
182	9	1	21
183	10	2	22
184	9	1	21
185	8	1	21
186	7	1	21
187	8	2	22
188	7	1	21
189	6	1	21
190	5	1	21
191	4	1	21
192	3	1	21
193	2	1	21
194	1	1	21
195	12	1	21
196	1	2	22
197	12	1	21
198	11	1	21
199	10	1	21
200	9	1	21
201	8	1	21
202	7	1	21
203	6	1	21
204	5	1	21
205	4	1	21
206	5	2	22
207	4	1	21
208	3	1	21
209	2	1	21
210	1	1	21
211	12	1	21
212	11	1	21
213	10	1	21
214	9	1	21
215	8	1	21
216	9	2	22
217	8	1	21
218	7	1	21
219	6	1	21
220	5	1	21
221	4	1	21
222	3	1	21
223	4	2	22
224	3	1	21
225	2	1	21
226	1	1	21
227	12	1	21
228	11	1	21
229	10	1	21
230	9	1	21
231	8	1	21
232	7	1	21
233	8	2	22
234	7	1	21
235	6	1	21
236	5	1	21
237	4	1	21
238	3	1	21
239	2	1	21
240	1	1	21
241	12	1	21
242	11	1	21
243	10	1	21
244	11	2	22
245	10	1	21
246	9	1	21
247	8	1	21
248	7	1	21
249	6	1	21
250	5	1	21
251	4	1	21
252	5	2	22
253	4	1	21
254	3	1	21
255	2	1	21
256	1	1	21
257	12	1	21
258	11	1	21
259	12	2	22
260	11	1	21
261	10	1	21
262	9	1	21
263	8	1	21
264	7	1	21
265	6	1	21
266	7	2	22
267	6	1	21
268	5	1	21
269	4	1	21
270	3	1	21
271	2	1	21
272	1	1	21
273	12	1	21
274	11	1	21
275	12	2	22
276	11	1	21
277	10	1	21
278	9	1	21
279	8	1	21
280	7	1	21
281	6	1	21
282	5	1	21
283	4	1	21
284	3	1	21
285	2	1	21
286	3	2	22
287	2	1	21
288	1	1	21
289	12	1	21
290	11	1	21
291	12	2	22
292	11	1	21
293	10	1	21
294	9	1	21
295	8	1	21
296	7	1	21
297	6	1	21
298	5	1	21
299	4	1	21
300	3	1	21
301	2	1	21
302	1	1	21
303	2	2	22
304	1	1	21
305	12	1	21
306	11	1	21
307	10	1	21
308	11	2	22
309	10	1	21
310	9	1	21
311	8	1	21
312	7	1	21
313	8	2	22
314	7	1	21
315	6	1	21
316	5	1	21
317	4	1	21
318	3	1	21
319	2	1	21
320	1	1	21
321	12	1	21
322	11	1	21
323	10	1	21
324	9	1	21
325	8	1	21
326	7	1	21
327	6	1	21
328	5	1	21
329	4	1	21
330	3	1	21
331	2	1	21
332	3	2	22
333	2	1	21
334	1	1	21
335	12	1	21
336	1	2	22
337	12	1	21
338	11	1	21
339	10	1	21
340	9	1	21
341	8	1	21
342	7	1	21
343	6	1	21
344	5	1	21
345	4	1	21
346	3	1	21
347	2	1	21
348	1	1	21
349	12	1	21
350	11	1	21
351	10	1	21
352	9	1	21
353	10	2	22
354	9	1	21
355	8	1	21
356	7	1	21
357	6	1	21
358	5	1	21
359	4	1	21
360	3	1	21
361	2	1	21
362	1	1	21
363	12	1	21
364	11	1	21
365	10	1	21
366	11	2	22
367	10	1	21
368	9	1	21
369	8	1	21
370	7	1	21
371	6	1	21
372	5	1	21
373	4	1	21
374	3	1	21
375	2	1	21
376	1	1	21
377	12	1	21
378	11	1	21
379	10	1	21
380	9	1	21
381	8	1	21
382	9	2	22
383	8	1	21
384	7	1	21
385	6	1	21
386	7	2	22
387	6	1	21
388	5	1	21
389	4	1	21
390	5	2	22
391	4	1	21
392	3	1	21
393	2	1	21
394	1	1	21
395	12	1	21
396	11	1	21
397	10	1	21
398	9	1	21
399	10	2	22
400	9	1	21
401	8	1	21
402	7	1	21
403	6	1	21
404	5	1	21
405	4	1	21
406	3	1	21
407	2	1	21
408	1	1	21
409	12	1	21
410	11	1	21
411	10	1	21
412	9	1	21
413	8	1	21
414	7	1	21
415	6	1	21
416	5	1	21
417	6	2	22
418	5	1	21
419	4	1	21
420	3	1	21
421	2	1	21
422	1	1	21
423	12	1	21
424	11	1	21
425	10	1	21
426	9	1	21
427	8	1	21
428	7	1	21
429	6	1	21
430	5	1	21
431	4	1	21
432	5	2	22
433	4	1	21
434	3	1	21
435	2	1	21
436	1	1	21
437	12	1	21
438	11	1	21
439	10	1	21
440	9	1	21
441	8	1	21
442	7	1	21
443	6	1	21
444	5	1	21
445	4	1	21
446	3	1	21
447	2	1	21
448	1	1	21
449	12	1	21
450	1	2	22
451	12	1	21
452	11	1	21
